Diabase,,Granite,,Basalt,,Quartzite,,Gneiss,,Marble,,Schist_Flat,,Schist_Perp,,Limestone,,Mudstone,,Sandstone,,Shale,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
271.821582581245,67.4504720331896,147.866048175126,40.8432215019754,284.727938547538,50.844392862985,161.446093320161,60.12334314127,96.6836684207007,70.311935784065,69.8804959802203,52.3177615315133,35.9767301922737,5.54621822719689,28.40119412051,7.43286562188679,50.5671045189487,25.7790913598706,0.608758737705124,0.023694518476248,13.3348451438855,5.65083564583243,39.7238992930836,2.43173078553652
282.635038475416,70.039469540634,158.604457304407,43.2454636226555,304.583217712399,54.5503660549622,180.587034901485,61.6773814310029,102.213911894108,75.2900887732106,73.1550563221064,55.4486031613367,43.2351252724574,6.43199323149537,112.85466758753,29.8285496805358,46.2126901357206,27.8657298561777,0.508768361430144,0.021083546298862,18.6626011467829,7.9175633930494,49.1490291235183,2.99265282764246
296.643037864525,73.2764607253508,166.043925116895,45.3216597829005,318.869935014715,57.320112388391,206.698278000787,64.1561604545453,110.956880383604,80.1147495535646,75.3315099102936,58.5524835600082,146.304825872888,22.116393808456,124.88563182176,34.4275238634098,45.6907448228467,29.3498329553712,0.429963718688375,0.019504770520408,22.579100156588,9.49434018876694,58.7973305355051,3.63549356519614
308.443927167721,76.3214384102432,173.364255361506,47.2493986142909,342.027082064184,60.8515599670486,234.988880251431,68.32109142864,120.459294158415,84.106274770399,76.7936647970027,63.5103200013519,166.778804045694,25.6255004679836,131.543281050001,38.9067664938878,45.6849626080336,30.9129780183103,0.384307450852984,0.019005234799,26.7115278122353,11.2383932666617,80.4661442308283,4.96334710303244
324.742962668905,80.3343009511996,182.970159982315,49.6438287388922,355.185306869937,63.2768716997222,268.054099204161,72.0280361441945,134.296915846616,86.2753623269796,75.9876498475892,69.553284249263,179.810007473394,28.1997386203507,139.44319018948,45.3289337684771,48.8575447648388,34.2934570489521,0.321072080401022,0.019504770520408,33.049264592356,13.8307289555544,98.4491463319799,6.02950542349548
337.135223841864,83.9295854189984,192.069721277248,52.3004333891443,378.930744312618,67.7125156207629,291.986488511514,75.1125537204873,148.767771365585,86.1348415878903,74.7044269308078,74.8891187186643,198.299307001592,33.0992201611974,142.108641173414,51.1977339838848,52.2504461901094,38.0436073053763,0.280523836547239,0.02135883027964,36.5556332233009,15.3431839893286,127.385065866272,7.9175633930494
362.789918668744,90.0881866085383,198.921793935208,54.6739261978598,397.775913026142,71.1483532457354,328.656266117287,80.7885452380785,164.278657658367,84.2671658365283,71.0603117287,80.3176504289359,205.467089193545,37.0186852948327,142.918856334917,58.2046531292834,59.7708151810881,43.3131448989186,0.265077832758436,0.025946841987321,48.9209654150874,20.1476942724605,142.4915385949,8.78338605847256
377.222226608094,94.1183087490418,207.132334105971,56.5525061879823,423.225958195962,75.1418158420968,359.139530519422,85.6857481357871,180.813392314206,82.1578028233926,68.0530691057269,84.1393742704755,199.95423466185,41.3580831726655,132.334695476981,67.2013232128203,97.8652815681611,69.0934088168044,0.273997423415898,0.033199134404454,61.2100025795425,25.1188643150958,164.804897462028,10.9505673277686
391.006496432445,97.7344218790017,219.791391890822,59.4147014330428,422.086305173048,81.3239751959906,394.953973354156,94.0076293128177,197.741186545926,77.960195274182,65.8342550630175,85.8110648163043,185.213111209249,45.3952280080074,122.593417969403,72.5277465684748,111.95450303737,77.6498900417476,0.433625080704438,0.060295054234955,93.6989661534889,38.5403356789495,184.284802911126,14.011314236132
