Limestone,,Sandstone,,Shale,,Diabase,,Flow Rock,,Intrusive Rock,,Gneiss,,Marble,,Quartzite,,Schist,,Chalk,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
3.02949612882451,30.2527872379455,1.72776264405674,29.7894047655044,5.34032114502884,18.5346146583417,9.30622997721815,87.8119729779413,3.39380913663202,39.0783220867793,6.53119652333152,72.7752418935877,5.52835793239968,47.6618521153169,4.83315435087456,24.3350502757448,9.65923094863073,94.4696836952233,4.97245303290997,14.3148354564015,0.557766366227906,2.87411936740612
3.09595164266821,29.7006904133435,1.78688276272424,29.6627459479463,5.49636544930654,18.5483257574147,9.42356076671131,87.7461688063663,3.46136498537057,39.02026316395,6.67076354116225,72.5830708942913,5.60448097860981,47.4468802141306,4.89022599601214,24.3090799112342,9.75043074211146,94.277282636547,5.1674101282601,14.1363544920168,0.573972190391989,2.85844726390802
3.16386493534127,29.5818952873534,1.84802583775283,29.5858626894997,5.51516355142129,18.5592596520698,9.54237083559009,87.7747741159554,3.5302655746396,39.095701297652,6.81331300675683,72.5895175588147,5.68165220553383,47.2832873522638,4.94797156390125,24.2937964490893,9.84249161887875,94.1724174223699,5.37001098993157,14.0576012527695,0.590648872522309,2.85046949763523
3.23326798491433,29.629346455413,1.91126109012062,29.5561504219329,5.65696937167391,18.6427457768891,9.66267883426594,87.8789043258244,3.60053767232272,39.2527777475432,6.95890865289969,72.7518440344959,5.7598860461571,47.1670369708019,5.00639901246695,24.2885374216053,9.93542170904342,94.1352800173716,5.58055531034372,14.0573166419503,0.60781009333156,2.84914009656409
3.30419347093409,29.7459522822828,1.97666010939053,29.5696696114157,5.82226614427434,18.8003031445349,9.66639845447479,87.8841980666456,3.60649689274704,39.2717261809162,7.05294495143964,72.9373791957268,5.83919713220075,47.0946040444193,5.06551639360438,24.2928175540197,10.0292292194785,94.1505080901522,5.79935453208492,14.1201026342765,0.62546993102364,2.85360423714201
3.37667478981108,29.8876385622294,2.04429693475799,29.6220319654179,5.99239289229746,19.0063825809515,9.78450364829038,88.0493613709087,3.6722085791346,39.4712501159874,7.10761557429949,73.0408146891443,5.91960029685829,47.0629244163068,5.12533185428837,24.306325789127,10.1239224345442,94.2059779540137,6.02673230860646,14.2349000673298,0.643642872842704,2.86322190417374
3.45074607054483,30.030606640073,2.11424813887173,29.7094226750243,6.02418998403431,19.0538318619289,9.90786440131959,88.2657484826081,3.74530613922738,39.7256489367063,7.25950025669247,73.4338117695724,6.00111057756972,47.0693508361283,5.18585363769621,24.3289253600201,10.2195097168191,94.2919570706711,6.22649711355175,14.3702985599214,0.662343826957769,2.87754216738413
3.52644219079411,30.1601503417918,2.16400937729814,29.7912752276929,6.16749074773405,19.2710119592922,10.0327804581164,88.5153999413336,3.8198587510081,40.0073440659185,7.41463060656766,73.9161827066687,6.08374321883398,47.1116147354718,5.24036663752504,24.3571166958392,10.3159995078392,94.4005054019044,6.26302498297912,14.3959284436396,0.678412707579542,2.89324973673344
3.60379879329957,30.2667439213234,2.18659291452283,29.8262527182505,6.34044437806987,19.5615835668407,10.1592714275899,88.7890395986142,3.83772621899545,40.0806333694868,7.46938391532168,74.1121864226272,6.16751367506,47.1877928984154,5.24709008434362,24.3606980941352,10.413400328843,94.5250544277162,6.50858208542044,14.6094812296599,0.681588134692627,2.89635439304031
3.68285230266681,30.3450986449507,2.26141316430007,29.9629957901982,6.34770496645481,19.5740159000336,10.2873571658741,89.0802579742351,3.89589537817147,40.3119231025986,7.57307598152742,74.4769735766238,6.25243761345708,47.2962782864566,5.30904963323417,24.4022535440139,10.5117207815243,94.6601171306709,6.66009306129943,14.7597978520139,0.701391583111101,2.91989108133194
3.76363994251739,30.3962250711976,2.33879359331302,30.1252013119441,6.53318504871027,19.9322529159194,10.3470874902809,89.2247249237774,3.97344556095226,40.6306643582838,7.73490722129668,75.1095953351032,6.33853091696511,47.4357543598813,5.37174082302225,24.4536892577301,10.5279726553071,94.6834847118591,6.7637668503289,14.8666611031904,0.721770417967956,2.9474606839913
3.84619975301621,30.421304592444,2.418821805088,30.31510234925,6.60588950681997,20.0828659775815,10.4170577794443,89.3915680718595,4.03902325270737,40.9062021847124,7.78133579435613,75.3059163478148,6.42580968722502,47.6051723038645,5.43517229318978,24.5156651734482,10.6109695487917,94.8065755832407,7.02009498226722,15.1598543150593,0.742741357036101,2.97897571551261
3.93057060878337,30.4289985649936,2.50158840074524,30.5371142207221,6.72408486315167,20.3338189326587,10.5483936282735,89.7194284147485,4.05253942760174,40.9616713321401,7.9001966793948,75.8075730341823,6.51429024759021,47.8037306188593,5.49935278523684,24.5890773156971,10.7111553955352,94.9554628107666,7.02895675358957,15.1703873510958,0.743866757267231,2.98085886381913
4.01679223719886,30.4307679031202,2.52693534659954,30.6101221601201,6.85023475332301,20.6180396640884,10.6813853290288,90.0573562502711,4.13320770609242,41.2966633550612,8.05712080786541,76.5188737604518,6.53217073905012,47.8490589597429,5.56429114388633,24.6750756305531,10.8122871694008,95.1025259237776,7.30454407094621,15.5286204043223,0.764321603821008,3.01518645413057
4.10490523710886,30.4388790726806,2.58718708156986,30.7747108621384,6.92056277447568,20.7810644120003,10.8160537583072,90.4066868400885,4.21548173605595,41.6369822928698,8.06901825548436,76.5730731564659,6.60398914617947,48.0336079188502,5.62999631830283,24.7750831989054,10.9143738015714,95.2454402109576,7.33494973416729,15.5707540955559,0.786528861673613,3.05518540178484
